◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
◇ injected env (0) from .env // tip: ◈ encrypted .env [www.dotenvx.com]
Connecting DB: {
  server: 'TUNGLAI',
  instance: null,
  port: null,
  database: 'ToeicVocabularyPlatform',
  auth: 'windows'
}
Attempting to start server...
Server successfully started on port 3001
DB Connected
[2026-06-21T16:52:14.564Z] GET /api/admin/questions/2012?page=1&limit=100
[2026-06-21T16:52:14.590Z] GET /api/admin/questions/2010?page=1&limit=100
[2026-06-21T16:52:14.598Z] GET /api/admin/questions/2011?page=1&limit=100
[2026-06-21T16:52:14.621Z] GET /api/admin/questions/2009?page=1&limit=100
[2026-06-21T16:52:14.631Z] GET /api/admin/questions/2010?page=1&limit=100
[2026-06-21T16:52:14.654Z] GET /api/admin/questions/2008?page=1&limit=100
[2026-06-21T16:52:14.664Z] GET /api/admin/questions/2009?page=1&limit=100
[2026-06-21T16:52:14.694Z] GET /api/admin/questions/2007?page=1&limit=100
[2026-06-21T16:52:14.703Z] GET /api/admin/questions/2008?page=1&limit=100
[2026-06-21T16:52:14.731Z] GET /api/admin/questions/2006?page=1&limit=100
[2026-06-21T16:52:14.746Z] GET /api/admin/questions/2007?page=1&limit=100
[2026-06-21T16:52:14.759Z] GET /api/admin/questions/2005?page=1&limit=100
[2026-06-21T16:52:14.781Z] GET /api/admin/questions/2006?page=1&limit=100
[2026-06-21T16:52:14.793Z] GET /api/admin/questions/2004?page=1&limit=100
[2026-06-21T16:52:14.817Z] GET /api/admin/questions/2005?page=1&limit=100
[2026-06-21T16:52:14.824Z] GET /api/admin/questions/2003?page=1&limit=100
[2026-06-21T16:52:14.843Z] GET /api/admin/questions/2004?page=1&limit=100
[2026-06-21T16:52:14.849Z] GET /api/admin/questions/2002?page=1&limit=100
[2026-06-21T16:52:14.872Z] GET /api/admin/questions/2003?page=1&limit=100
[2026-06-21T16:52:14.879Z] GET /api/admin/questions/2001?page=1&limit=100
[2026-06-21T16:52:14.902Z] GET /api/admin/questions/2002?page=1&limit=100
[2026-06-21T16:52:14.913Z] GET /api/admin/questions/2000?page=1&limit=100
[2026-06-21T16:52:14.938Z] GET /api/admin/questions/2001?page=1&limit=100
[2026-06-21T16:52:14.944Z] GET /api/admin/questions/1999?page=1&limit=100
[2026-06-21T16:52:14.973Z] GET /api/admin/questions/2000?page=1&limit=100
[2026-06-21T16:52:14.978Z] GET /api/admin/questions/1998?page=1&limit=100
[2026-06-21T16:52:15.012Z] GET /api/admin/questions/1999?page=1&limit=100
[2026-06-21T16:52:15.016Z] GET /api/admin/questions/1997?page=1&limit=100
[2026-06-21T16:52:15.051Z] GET /api/admin/questions/1996?page=1&limit=100
[2026-06-21T16:52:15.061Z] GET /api/admin/questions/1998?page=1&limit=100
[2026-06-21T16:52:15.089Z] GET /api/admin/questions/1995?page=1&limit=100
[2026-06-21T16:52:15.098Z] GET /api/admin/questions/1997?page=1&limit=100
[2026-06-21T16:52:15.126Z] GET /api/admin/questions/1994?page=1&limit=100
[2026-06-21T16:52:15.137Z] GET /api/admin/questions/1996?page=1&limit=100
[2026-06-21T16:52:15.163Z] GET /api/admin/questions/1993?page=1&limit=100
[2026-06-21T16:52:15.168Z] GET /api/admin/questions/1995?page=1&limit=100
[2026-06-21T16:52:15.197Z] GET /api/admin/questions/1994?page=1&limit=100
[2026-06-21T16:52:15.200Z] GET /api/admin/questions/1992?page=1&limit=100
[2026-06-21T16:52:15.224Z] GET /api/admin/questions/1991?page=1&limit=100
[2026-06-21T16:52:15.228Z] GET /api/admin/questions/1993?page=1&limit=100
[2026-06-21T16:52:15.258Z] GET /api/admin/questions/1990?page=1&limit=100
[2026-06-21T16:52:15.261Z] GET /api/admin/questions/1992?page=1&limit=100
[2026-06-21T16:52:15.285Z] GET /api/admin/questions/1989?page=1&limit=100
[2026-06-21T16:52:15.287Z] GET /api/admin/questions/1991?page=1&limit=100
[2026-06-21T16:52:15.313Z] GET /api/admin/questions/1988?page=1&limit=100
[2026-06-21T16:52:15.317Z] GET /api/admin/questions/1990?page=1&limit=100
[2026-06-21T16:52:15.339Z] GET /api/admin/questions/1987?page=1&limit=100
[2026-06-21T16:52:15.342Z] GET /api/admin/questions/1989?page=1&limit=100
[2026-06-21T16:52:15.370Z] GET /api/admin/questions/1988?page=1&limit=100
[2026-06-21T16:52:15.373Z] GET /api/admin/questions/1986?page=1&limit=100
